"tempi","hum","wdird","wdire","wgusti","precipi","rain","conds","weatherTime","shotId"
"84.6","57","0","North","-9999.0","-9999.00","0","Mostly Cloudy",1135,"33448-420-715-3-13-3"
"84.6","57","0","North","-9999.0","-9999.00","0","Mostly Cloudy",1135,"33448-420-715-3-13-4"
"85.1","56","130","SE","-9999.0","-9999.00","0","Clear",1155,"33448-420-715-3-14-1"
"85.1","56","130","SE","-9999.0","-9999.00","0","Clear",1155,"33448-420-715-3-14-2"
"85.1","56","130","SE","-9999.0","-9999.00","0","Clear",1155,"33448-420-715-3-14-3"
"85.1","56","130","SE","-9999.0","-9999.00","0","Clear",1155,"33448-420-715-3-14-4"
"84.7","57","0","North","-9999.0","-9999.00","0","Clear",1215,"33448-420-715-3-15-1"
"84.7","57","0","North","-9999.0","-9999.00","0","Clear",1215,"33448-420-715-3-15-2"
"84.7","57","0","North","-9999.0","-9999.00","0","Clear",1215,"33448-420-715-3-15-3"
"84.7","57","0","North","-9999.0","-9999.00","0","Clear",1215,"33448-420-715-3-15-4"
"84.7","57","0","North","-9999.0","-9999.00","0","Clear",1215,"33448-420-715-3-16-1"
"84.7","57","0","North","-9999.0","-9999.00","0","Clear",1215,"33448-420-715-3-16-2"
"84.7","57","0","North","-9999.0","-9999.00","0","Clear",1215,"33448-420-715-3-17-1"
"85.6","54","0","North","-9999.0","-9999.00","0","Clear",1235,"33448-420-715-3-17-2"
"85.6","54","0","North","-9999.0","-9999.00","0","Clear",1235,"33448-420-715-3-17-3"
"85.6","54","0","North","-9999.0","-9999.00","0","Clear",1235,"33448-420-715-3-17-4"
"85.6","54","0","North","-9999.0","-9999.00","0","Clear",1235,"33448-420-715-3-17-5"
"85.6","54","0","North","-9999.0","-9999.00","0","Clear",1235,"33448-420-715-3-18-1"
"85.6","54","0","North","-9999.0","-9999.00","0","Clear",1235,"33448-420-715-3-18-2"
"86.7","48","0","North","-9999.0","-9999.00","0","Clear",1255,"33448-420-715-3-18-3"
"86.7","48","0","North","-9999.0","-9999.00","0","Clear",1255,"33448-420-715-3-18-4"
"86.7","48","0","North","-9999.0","-9999.00","0","Clear",1255,"33448-420-715-3-18-5"
"86.7","48","0","North","-9999.0","-9999.00","0","Clear",1255,"33448-420-715-3-18-6"
"84.0","58","140","SE","-9999.0","-9999.00","0","Scattered Clouds",1355,"34046-420-715-3-1-1"
"83.3","59","150","SSE","-9999.0","-9999.00","0","Mostly Cloudy",1415,"34046-420-715-3-1-2"
"83.3","59","150","SSE","-9999.0","-9999.00","0","Mostly Cloudy",1415,"34046-420-715-3-1-3"
