"course","link","hole","hole_lat","hole_lon","hole_z","tee_lat","tee_lon","tee_z","midpt1_lat","midpt1_lon","midpt1_z","midpt2_lat","midpt2_lon","midpt2_z"
"TPC Harding Park","http://www.provisualizer.com/courses/tpchardingpark.php","11","37.725407272541","-122.48511624851","86.0992218896484","37.726374772637","-122.48678934868","83.3730836949921",NA,NA,NA,NA,NA,NA
"TPC Harding Park","http://www.provisualizer.com/courses/tpchardingpark.php","12","37.721154772115","-122.48582544858","95.961497466507","37.725122872512","-122.4849578485","87.3200689809418","37.722925972293","-122.48582814858","94.4368512794495","37.72140407214","-122.48584974858","94.0918139031983"
"TPC Harding Park","http://www.provisualizer.com/courses/tpchardingpark.php","13","37.717768971777","-122.48714934871","98.8598226908875","37.7210044721","-122.48538984854","97.6720663472748","37.718852571885","-122.48642484864","101.399149597626",NA,NA,NA
"TPC Harding Park","http://www.provisualizer.com/courses/tpchardingpark.php","14","37.72020257202","-122.49036504904","90.5881370036316","37.717318971732","-122.48710614871","96.9013422838593","37.719040671904","-122.48919234892","75.3410806510162",NA,NA,NA
"TPC Harding Park","http://www.provisualizer.com/courses/tpchardingpark.php","15","37.722581272258","-122.49369864937","54.1230216537476","37.720429372043","-122.49065214907","94.1074581674194","37.72219787222","-122.49251514925","52.8618874532318",NA,NA,NA
"TPC Harding Park","http://www.provisualizer.com/courses/tpchardingpark.php","16","37.723424572342","-122.49686754969","45.5768135467911","37.722208672221","-122.49376344938","55.7698683174896","37.722952072295","-122.49624204962","43.7100210435104",NA,NA,NA
"TPC Harding Park","http://www.provisualizer.com/courses/tpchardingpark.php","17","37.724608072461","-122.49822204982","43.4826535650253","37.723536172354","-122.49712134971","44.6379355449677",NA,NA,NA,NA,NA,NA
"TPC Harding Park","http://www.provisualizer.com/courses/tpchardingpark.php","18","37.72580147258","-122.49370404937","50.892371582222","37.725038272504","-122.49789354979","46.6355047105789","37.724725972473","-122.4949568495","42.8941570201111",NA,NA,NA
"RTJ Trail (Grand National)","http://www.provisualizer.com/courses/rtjgrandnationallake.php","1","32.678168067817","-85.427756542776","696.050961558228","32.675341167534","-85.428381142838","720.170412055664","32.677205967721","-85.427139142714","699.054660288696","","",NA
"RTJ Trail (Grand National)","http://www.provisualizer.com/courses/rtjgrandnationallake.php","2","32.677629867763","-85.431932543193","685.794481811523","32.678991567899","-85.428083242808","689.319222148437","32.678292267829","-85.430689643069","685.757536317139",NA,NA,NA
"RTJ Trail (Grand National)","http://www.provisualizer.com/courses/rtjgrandnationallake.php","3","32.677662267766","-85.434059243406","687.038563764038","32.678241867824","-85.432225043223","684.565468414307",NA,NA,NA,NA,NA,NA
"RTJ Trail (Grand National)","http://www.provisualizer.com/courses/rtjgrandnationallake.php","4","32.680754668075","-85.431484343148","739.140271387939","32.678093367809","-85.435268843527","701.74782663208","32.680034668003","-85.433709143371","697.668002769775","32.680727668073","-85.432045943205","730.367668875733"
"RTJ Trail (Grand National)","http://www.provisualizer.com/courses/rtjgrandnationallake.php","5","32.680607968061","-85.426879042688","698.872786330566","32.680892368089","-85.431122543112","746.163770067749","32.680639468064","-85.42840364284","688.767242445068",NA,NA,NA
"RTJ Trail (Grand National)","http://www.provisualizer.com/courses/rtjgrandnationallake.php","6","32.678563167856","-85.427316442732","696.770347404175","32.680983268098","-85.424561542456","713.231067001953","32.678970867897","-85.425988942599","700.586546641235",NA,NA,NA
